Order_ID,Date,Product,Category,Quantity,Region,Unit_Price,Revenue
ORD-0001,11/25/2025,Printer,Electronics,8,North,174.13,1393.04
ORD-0002,3/9/2025,Keyboard,Electronics,9,South,43.17,388.53
ORD-0003,12/23/2025,Webcam,Electronics,7,South,75.85,530.95
ORD-0004,4/8/2025,Desk Lamp,Furniture,1,East,27.66,27.66
ORD-0005,9/24/2025,Backpack,Stationery,3,South,36.82,110.46
ORD-0006,4/15/2025,Office Chair,Furniture,9,North,175.62,1580.58
ORD-0007,11/19/2025,Webcam,Electronics,1,East,75.62,75.62
ORD-0008,5/3/2025,Mouse,Electronics,9,West,25.76,231.84
ORD-0009,1/29/2025,Printer,Electronics,8,East,173.31,1386.48
ORD-0010,5/17/2025,Notebook,Stationery,1,North,7.61,7.61
ORD-0011,7/14/2025,Headphones,Electronics,6,East,85.11,510.66
ORD-0012,8/14/2025,Printer,Electronics,5,East,193.67,968.35
ORD-0013,11/28/2025,Backpack,Stationery,6,North,35.18,211.08
ORD-0014,6/19/2025,Backpack,Stationery,10,East,33.21,332.1
ORD-0015,1/9/2025,Office Chair,Furniture,5,North,147.61,738.05
ORD-0016,2/9/2025,Mouse,Electronics,6,North,22.94,137.64
ORD-0017,1/25/2025,Keyboard,Electronics,5,West,46.97,234.85
ORD-0018,9/18/2025,Office Chair,,5,South,157.44,787.2
ORD-0019,8/14/2025,Office Chair,Furniture,4,South,172.97,691.88
ORD-0020,5/4/2025,Headphones,Electronics,3,East,83.83,251.49
ORD-0021,2/7/2025,Monitor,Electronics,3,East,206.42,619.26
ORD-0022,11/24/2025,Mouse,Electronics,4,West,25.57,102.28
ORD-0023,9/8/2025,Smartphone,Electronics,9,West,641.62,5774.58
ORD-0024,6/25/2025,Office Chair,Furniture,2,West,162.47,324.94
ORD-0025,3/31/2025,USB Cable,Accessories,9,North,12.57,113.13
ORD-0026,2/6/2025,Tablet,Electronics,1,West,445.72,445.72
ORD-0027,11/12/2025,Monitor,Electronics,1,West,235.12,235.12
ORD-0028,6/25/2025,Smartphone,Electronics,5,East,618.02,3090.1
ORD-0029,10/11/2025,USB Cable,Accessories,6,West,10.87,65.22
ORD-0030,3/22/2025,Mouse,Electronics,6,North,26.2,157.2
ORD-0031,4/24/2025,Laptop,Electronics,3,North,875.21,2625.63
ORD-0032,2/9/2025,USB Cable,Accessories,7,East,11.56,80.92
