subscription_id,signup_date,plan_type,region,seats_purchased,monthly_revenue,status
SUB-3000,2025-12-22,Enterprise,Other,24,4625.88,Active
SUB-3001,2025-06-21,Basic,Asia,22,194.04,Churned
SUB-3002,2025-08-07,Enterprise,Unknown,1,208.29,Trial
SUB-3003,2025-12-11,Business,Asia,21,1607.19,Churned
SUB-3004,2026-05-18,Basic,Unknown,7,58.91,Trial
SUB-3005,2026-02-15,Business,North America,4,290.6,Churned
SUB-3006,2026-06-16,Pro,Unknown,29,794.86,Trial
SUB-3007,2025-07-16,Basic,Other,25,225.93,Active
SUB-3008,2025-11-27,Business,Asia,20,1716.2,Churned
SUB-3009,2026-04-20,Business,Unknown,25,1795.45,Trial
SUB-3010,2026-04-14,Pro,Other,34,952.38,Active
SUB-3011,2025-12-11,Basic,Europe,1,9.08,Active
SUB-3012,2025-11-23,Basic,Asia,23,223.89,Active
SUB-3013,2025-08-03,Pro,Other,6,191.05,Trial
SUB-3014,2026-01-11,Basic,Other,41,348.6,Active
SUB-3015,2026-06-04,Enterprise,Asia,2,376.8,Churned
SUB-3016,2025-10-29,Pro,Other,19,562.67,Trial
SUB-3017,2025-11-03,Enterprise,Unknown,25,4505.02,Active
SUB-3018,2026-04-21,Business,Other,47,3446.08,Active
SUB-3019,2025-06-29,Pro,Europe,19,505.34,Active
SUB-3020,2026-03-24,Business,Asia,37,3014.47,Churned
SUB-3021,2025-09-15,Business,Unknown,22,1711.54,Trial
SUB-3022,2025-12-14,Basic,Unknown,14,119.98,Trial
SUB-3023,2025-10-14,Enterprise,Europe,1,210.12,Trial
SUB-3024,2026-03-09,Basic,Other,30,261.98,Churned
SUB-3025,2026-02-20,Enterprise,Other,4,767.8,Trial
SUB-3026,2026-05-31,Enterprise,North America,17,3380.42,Churned
SUB-3027,2026-05-01,Pro,North America,29,900.42,Active
SUB-3028,2025-12-21,Pro,North America,6,157.86,Trial
SUB-3029,2026-01-09,Pro,Unknown,22,648.99,Trial
SUB-3030,2026-02-15,Pro,Asia,6,184.08,Trial
SUB-3031,2025-12-27,Pro,Europe,12,348.64,Active
SUB-3032,2025-07-15,Basic,North America,50,487.1,Active
SUB-3033,2025-08-23,Business,North America,23,1860.69,Trial
SUB-3034,2025-07-03,Business,Other,30,2182.5,Churned
SUB-3035,2026-04-24,Enterprise,Europe,44,9041.97,Active
SUB-3036,2025-12-09,Enterprise,North America,49,10207.32,Active
SUB-3037,2025-09-24,Enterprise,Europe,47,8893.06,Churned
SUB-3038,2025-08-11,Basic,Asia,6,48.86,Active
SUB-3039,2025-11-04,Business,Asia,42,3071.91,Churned
SUB-3040,2025-09-26,Pro,Other,16,439.43,Churned
SUB-3041,2026-01-05,Pro,Europe,14,420.84,Churned
SUB-3042,2026-02-26,Pro,Unknown,17,515.81,Active
SUB-3043,2025-10-07,Basic,Asia,39,349.81,Trial
SUB-3044,2026-04-25,Basic,North America,8,66.79,Active
SUB-3045,2026-02-11,Pro,Unknown,37,1178.92,Active
SUB-3046,2026-05-19,Business,North America,24,2069.12,Active
SUB-3047,2026-02-18,Business,Unknown,9,776.43,Churned
SUB-3048,2026-06-24,Enterprise,Unknown,35,7520.16,Churned
SUB-3049,2025-08-08,Business,Unknown,31,2564.95,Trial
SUB-3050,2026-06-16,Basic,Other,22,196.38,Trial
SUB-3051,2026-03-04,Business,Europe,24,1892.02,Active
SUB-3052,2025-12-30,Basic,Other,49,417.86,Churned
SUB-3053,2025-06-09,Pro,Europe,9,276.52,Trial
SUB-3054,2026-01-03,Pro,Asia,45,1434.35,Active
SUB-3055,2025-08-16,Business,Asia,40,2951.91,Churned
SUB-3056,2025-11-17,Enterprise,Europe,5,981.11,Active
SUB-3057,2026-02-24,Basic,Unknown,41,357.87,Trial
SUB-3058,2025-11-19,Business,Asia,7,561.48,Active
SUB-3059,2026-02-12,Basic,Unknown,1,9.61,Trial
SUB-3060,2026-04-20,Pro,Other,39,1036.63,Active
SUB-3061,2026-02-27,Basic,Other,20,168.39,Churned
SUB-3062,2025-08-14,Basic,Europe,13,121.08,Churned
SUB-3063,2025-07-04,Pro,Asia,38,1015.1,Churned
SUB-3064,2026-05-27,Basic,Europe,6,58.21,Churned
SUB-3065,2026-02-03,Pro,Unknown,48,1435.2,Trial
SUB-3066,2025-06-28,Business,North America,6,469.29,Churned
SUB-3067,2025-08-18,Enterprise,Europe,50,10854.75,Trial
SUB-3068,2025-08-12,Enterprise,Europe,47,8912.76,Trial
SUB-3069,2025-06-01,Business,Unknown,11,801.38,Churned
SUB-3070,2025-12-23,Business,Europe,49,3961.94,Active
SUB-3071,2025-06-10,Basic,Asia,46,423.32,Trial
SUB-3072,2026-04-21,Basic,North America,48,392.25,Active
SUB-3073,2026-03-10,Basic,Other,46,376.0,Churned
SUB-3074,2026-06-22,Pro,Asia,24,644.57,Active
SUB-3075,2026-06-17,Pro,Other,29,799.09,Active
SUB-3076,2025-09-07,Enterprise,Unknown,23,4499.55,Active
SUB-3077,2025-06-12,Enterprise,Unknown,38,7436.01,Churned
SUB-3078,2025-09-22,Enterprise,Unknown,3,655.4,Churned
SUB-3079,2025-09-22,Enterprise,Unknown,1,208.0,Trial
SUB-3080,2026-04-04,Basic,Europe,39,366.84,Active
SUB-3081,2026-06-25,Enterprise,Asia,13,2578.26,Trial
SUB-3082,2025-08-22,Business,Other,16,1303.77,Active
SUB-3083,2026-05-06,Business,Asia,12,1020.81,Trial
SUB-3084,2026-03-10,Basic,Europe,41,388.31,Churned
SUB-3085,2025-06-22,Business,Asia,23,1745.63,Active
